,tuple,relevance,flesch_reading_ease,bigram_entropy,is_general,distinct_3,Q_A_eval
0,"['What do you think about the information in this passage?', 'Think about all of the technological devices that you use on a regular basis.']",9.49119746685028,6.776000000000001,4.807354922057605,0.0,9.0,1.0
1,"['What type of devices do you use on a regular basis?', 'Computers, wireless internet, smart phones, tablets, global positioning system (GPS), MP3 players, and satellite radio might come to mind.']",9.586207866668701,5.625,5.39231742277876,0.0,10.0,0.0
2,"['What type of technology are they using to locate you?', 'Next, think about the most exciting modern technologies that you have heard about in the news, such as trains that levitate above their tracks, invisibility cloaks that bend light around them, and microscopic robots that fight diseased cells in our bodies.']",8.248984813690186,5.404999999999999,5.882643049361841,0.0,9.0,0.0
3,"['What type of technology does this use?', 'All of these groundbreaking advancements rely on the principles of physics.']",9.60410475730896,6.234,4.459431618637297,0.0,6.0,1.0
4,"['What is physics?', 'Physics is a branch of science.']",9.736058712005615,10.0,3.700439718141093,0.0,2.0,1.0
5,"['What is science?', 'The word science comes from a Latin word that means having knowledge, and refers the knowledge of how the physical world operates, based on objective evidence determined through observation and experimentation.']",9.691280126571655,4.576,5.321928094887363,0.0,2.0,0.0
6,"['What is a key requirement of any scientific explanation of a natural phenomenon?', 'A key requirement of any scientific explanation of a natural phenomenon is that it must be testable; one must be able to devise and conduct an experimental investigation that either supports or refutes the explanation.']",9.634847044944763,2.174,5.35056196399716,0.0,12.0,0.0
7,"['What happens when the question is not testable?', 'It is important to note that some questions fall outside the realm of science precisely because they deal with phenomena that are not scientifically testable.']",9.693244099617004,6.319,5.209453365628952,0.0,7.0,0.5
8,"['What is important about objective evidence?', 'This need for objective evidence helps define the investigative process scientists follow, which will be described later in this chapter.']",9.546810388565063,4.136,4.889680181354619,0.0,5.0,0.0
9,"['What is the science aimed at describing the fundamental aspects of our universe?', 'Physics is the science aimed at describing the fundamental aspects of our universe.']",9.355250000953674,5.828,4.173557262275184,0.0,12.0,1.0
10,"['What does physics describe?', 'This includes what things are in it, what properties of those things are noticeable, and what processes those things or their properties undergo.']",8.99147629737854,7.468999999999999,4.923181998146332,0.0,3.0,0.0
11,"['What does physics attempt to describe in simpler terms?', 'In simpler terms, physics attempts to describe the basic mechanisms that make our universe behave the way it does.']",9.102115631103516,7.419,4.923181998146332,0.0,8.0,0.0
12,"['What are some examples of how physics helps?', 'For example, consider a smart phone.']",9.82019305229187,8.129000000000001,4.247927513443585,0.0,7.0,0.0
13,"['What can physics help you with?', 'Physics describes how electric current interacts with the various circuits inside the device.']",8.356033563613892,7.029000000000001,4.523561956057013,0.0,5.0,0.0
14,"['How does this knowledge help engineers select the appropriate materials and circuit layout when building the smart phone?', 'This knowledge helps engineers select the appropriate materials and circuit layout when building the smart phone.']",9.706672430038452,3.7299999999999995,4.616348566075165,0.0,17.0,0.0
15,"['What other things can physics help us with?', 'Next, consider a GPS.']",8.424407839775085,9.077,4.08746284125034,0.0,7.0,1.0
16,"['What does physics describe?', 'Physics describes the relationship between the speed of an object, the distance over which it travels, and the time it takes to travel that distance.']",8.78380537033081,7.368,5.129283016944966,0.0,3.0,0.0
