,tuple,relevance,flesch_reading_ease,bigram_entropy,is_general,distinct_3,Q_A_eval
0,"['What questions does psychology explore?', 'The field of psychology explores questions like these.']",9.78619933128357,4.796,4.08746284125034,0.0,4.0,0.0
1,"['What does psychology refer to?', 'Psychology refers to the scientific study of the mind and behavior.']",9.538609385490417,4.644,4.321928094887362,0.0,4.0,0.0
2,"['How does psychology study the mind and behavior?', 'Psychologists use the scientific method to acquire knowledge.']",9.471951723098755,4.644,4.321928094887362,0.0,7.0,0.0
3,"['What is scientific method', 'To apply the scientific method, a researcher with a question about how or why something happens will propose a tentative explanation, called a hypothesis, to explain the phenomenon.']",8.181985020637512,2.2079999999999997,5.195295934496219,0.0,2.0,0.0
4,"['What is the context of a hypothesis?', 'A hypothesis should fit into the context of a scientific theory, which is a broad explanation or group of explanations for some aspect of the natural world that is consistently supported by evidence over time.']",9.652928709983826,4.17,5.426929277209552,0.0,6.0,0.0
5,"['What is the best understanding we have of that part of the natural world?', 'A theory is the best understanding we have of that part of the natural world.']",9.466685056686401,7.368,4.317121392085726,0.0,13.0,0.0
6,"['How is validity tested?', 'The researcher then makes observations or carries out an experiment to test the validity of the hypothesis.']",9.223308563232422,3.5439999999999996,4.643856189774724,0.0,3.0,0.0
7,"['What are the results of this research?', 'Those results are then published or presented at research conferences so that others can replicate or build on the results.']",9.34903860092163,7.468999999999999,4.889680181354619,0.0,6.0,0.0
8,"['What do scientists test?', 'Scientists test that which is perceivable and measurable.']",9.350919127464294,5.693,4.0,0.0,3.0,0.5
9,"['What kind of data is measurable?', 'For example, the hypothesis that a bird sings because it is happy is not a hypothesis that can be tested since we have no way to measure the happiness of a bird.']",8.982738852500916,6.911,5.333241498888144,0.0,5.0,0.0
10,"['What is an example of perceivable data?', 'We must ask a different question, perhaps about the brain state of the bird, since this can be measured.']",9.842376112937927,7.5200000000000005,5.0,0.0,6.0,0.0
11,"['Why can we ask a different question?', 'However, we can ask individuals about whether they sing because they are happy since they are able to tell us.']",7.805660367012024,7.468999999999999,4.937499999999999,0.0,6.0,0.0
