,tuple,relevance,flesch_reading_ease,bigram_entropy,is_general,distinct_3,toxicity,Q_A_eval
0,"['What is it?', 'Think about all of the technological devices that you use on a regular basis.']",9.60705578327179,7.131,4.392317422778759,0.0,2.0,0.014136819,0.0
1,"['What types of devices do you use?', 'Computers, wireless internet, smart phones, tablets, global positioning system (GPS), MP3 players, and satellite radio might come to mind.']",9.706038236618042,6.6739999999999995,5.247927513443587,0.0,6.0,0.024849601,0.0
2,"['What else can you think of that you have mentioned?', 'Next, think about the most exciting modern technologies that you have heard about in the news, such as trains that levitate above their tracks, invisibility cloaks that bend light around them, and microscopic robots that fight diseased cells in our bodies.']",9.200187921524048,6.2509999999999994,5.814846439192349,0.0,9.0,0.024378212,0.0
3,"['What do all of these advancements have in common?', 'All of these groundbreaking advancements rely on the principles of physics.']",9.719350934028625,6.979000000000001,4.501629167387825,0.0,8.0,0.015581916,0.5
4,"['what is physics?', 'Physics is a branch of science.']",9.736058712005615,10.0,3.700439718141093,0.0,2.0,0.0143253105,1.0
5,"['what does science mean?', 'The word science comes from a Latin word that means having knowledge, and refers the knowledge of how the physical world operates, based on objective evidence determined through observation and experimentation.']",9.663421511650085,4.525,5.357552004618084,0.0,3.0,0.012440401,0.5
6,"['what is the evidence of objective evidence determined through?', 'A key requirement of any scientific explanation of a natural phenomenon is that it must be testable; one must be able to devise and conduct an experimental investigation that either supports or refutes the explanation.']",9.12398636341095,3.222,5.5738935175845965,0.0,8.0,0.009236055,0.0
7,"['what does it require of an explanation?', 'It is important to note that some questions fall outside the realm of science precisely because they deal with phenomena that are not scientifically testable.']",9.264464378356934,5.524,5.169925001442313,0.0,6.0,0.012440401,0.0
8,"['what happens after an explanation is determined to be objective evidence?', 'This need for objective evidence helps define the investigative process scientists follow, which will be described later in this chapter.']",9.720560312271118,3.882,5.114369445886758,0.0,10.0,0.008482091,0.0
9,"['What does it mean to study Physics?', 'Physics is the science aimed at describing the fundamental aspects of our universe.']",9.533445835113525,7.825,4.584962500721156,0.0,6.0,0.010995304,0.0
10,"['What fundamental aspects of the universe are described?', 'This includes what things are in it, what properties of those things are noticeable, and what processes those things or their properties undergo.']",9.334795475006104,6.42,5.101345257520842,0.0,7.0,0.013697007,0.0
11,"['What does this description imply about the Universe?', 'In simpler terms, physics attempts to describe the basic mechanisms that make our universe behave the way it does.']",8.914886116981506,7.468999999999999,5.0,0.0,7.0,0.013068704,0.0
12,"['What kinds of things can be described with physics?', 'For example, consider a smart phone.']",9.726248383522034,8.924,4.321928094887362,0.0,8.0,0.0137598375,0.0
13,"['What does physics describe about the smart phone?', 'Physics describes how electric current interacts with the various circuits inside the device.']",8.988881707191467,6.928,4.643856189774724,0.0,7.0,0.0103670005,0.5
14,"['What does this mean for the design of the smart phone?', 'This knowledge helps engineers select the appropriate materials and circuit layout when building the smart phone.']",9.129716753959656,6.623,4.82516405232236,0.0,10.0,0.009236055,0.0
15,"['What other things can be described with physics?', 'Next, consider a GPS.']",9.75665032863617,9.077,4.08746284125034,0.0,7.0,0.012943043,1.0
16,"['What does physics describe about GPS?', 'Physics describes the relationship between the speed of an object, the distance over which it travels, and the time it takes to travel that distance.']",9.023051857948303,7.266,5.209453365628952,0.0,5.0,0.01024134,0.0
17,"['How is this applied to GPS?', 'When you use a GPS device in a vehicle, it utilizes these physics relationships to determine the travel time from one location to another.']",8.040642738342285,6.470999999999999,5.129283016944966,0.0,5.0,0.010115679,0.0
18,"['What was the purpose of this document?', 'As our technology evolved over the centuries, physics expanded into many branches.']",8.90263020992279,6.183,4.584962500721156,0.0,6.0,0.015267765,1.0
19,"['What was the early use of physics?', 'Ancient peoples could only study things that they could see with the naked eye or otherwise experience without the aid of scientific equipment.']",8.941343426704407,6.470999999999999,5.087462841250341,0.0,6.0,0.014765122,0.0
20,"['What kinds of things did ancient people study?', 'This included the study of kinematics, which is the study of moving objects.']",9.548351168632507,7.773999999999999,4.546593564294938,0.0,7.0,0.02920996,0.5
21,"['What was one example of a moving object?', 'For example, ancient people often studied the apparent motion of objects in the sky, such as the sun, moon, and stars.']",8.992390632629395,6.522,5.209453365628952,0.0,7.0,0.010115679,0.0
22,"['What else did ancient people do with physics?', 'This is evident in the construction of prehistoric astronomical observatories, such as Stonehenge in England (shown in Figure 1.3).']",9.458386898040771,4.931,5.087462841250341,0.0,7.0,0.029563503,0.0
23,"['When did the scientific study of physics start?', 'Ancient people also studied statics and dynamics, which focus on how objects start moving, stop moving, and change speed and direction in response to forces that push or pull on the objects.']",9.15946900844574,5.964,5.512035660188275,0.0,7.0,0.015896067,0.0
24,"['Did this research lead to inventions?', 'This early interest in kinematics and dynamics allowed humans to invent simple machines, such as the lever, the pulley, the ramp, and the wheel.']",9.173741340637207,6.470999999999999,5.195295934496219,0.0,5.0,0.013005874,0.0
25,"['What did they do with the simple machines?', 'These simple machines were gradually combined and integrated to produce more complicated machines, such as wagons and cranes.']",9.235597848892212,4.982,4.889680181354619,0.0,7.0,0.013005874,0.0
