,tuple,relevance,flesch_reading_ease,bigram_entropy,is_general,distinct_3,toxicity,Q_A_eval
0,"['What is the most common way that people use technology?', 'Think about all of the technological devices that you use on a regular basis.']",9.697837233543396,6.776000000000001,4.807354922057605,0.0,9.0,0.011686437,0.0
1,"['What types of devices do you use?', 'Computers, wireless internet, smart phones, tablets, global positioning system (GPS), MP3 players, and satellite radio might come to mind.']",9.706038236618042,6.6739999999999995,5.247927513443587,0.0,6.0,0.024849601,0.0
2,"['What else can you think of that you have mentioned?', 'Next, think about the most exciting modern technologies that you have heard about in the news, such as trains that levitate above their tracks, invisibility cloaks that bend light around them, and microscopic robots that fight diseased cells in our bodies.']",9.200187921524048,6.2509999999999994,5.814846439192349,0.0,9.0,0.024378212,0.0
3,"['What do all of these advancements have in common?', 'All of these groundbreaking advancements rely on the principles of physics.']",9.719350934028625,6.979000000000001,4.501629167387825,0.0,8.0,0.015581916,0.5
4,"['What is physics?', 'Physics is a branch of science.']",9.736058712005615,10.0,3.700439718141093,0.0,2.0,0.013131535,1.0
5,"['What does science mean?', 'The word science comes from a Latin word that means having knowledge, and refers the knowledge of how the physical world operates, based on objective evidence determined through observation and experimentation.']",9.663421511650085,4.525,5.357552004618084,0.0,3.0,0.011812098,0.5
6,"['What is the evidence of objective evidence determined through?', 'A key requirement of any scientific explanation of a natural phenomenon is that it must be testable; one must be able to devise and conduct an experimental investigation that either supports or refutes the explanation.']",9.12398636341095,3.222,5.5738935175845965,0.0,8.0,0.008984734,0.0
7,"['What does it require of an explanation?', 'It is important to note that some questions fall outside the realm of science precisely because they deal with phenomena that are not scientifically testable.']",9.264464378356934,5.524,5.169925001442313,0.0,6.0,0.011435116,0.0
8,"['What happens after an explanation is determined to be objective evidence?', 'This need for objective evidence helps define the investigative process scientists follow, which will be described later in this chapter.']",9.720560312271118,3.882,5.114369445886758,0.0,10.0,0.0079480335,0.0
9,"['What is the science aimed at describing the fundamental aspects of our universe?', 'Physics is the science aimed at describing the fundamental aspects of our universe.']",9.355250000953674,5.828,4.173557262275184,0.0,12.0,0.0131943645,1.0
10,"['What are the fundamental aspects of the universe described?', 'This includes what things are in it, what properties of those things are noticeable, and what processes those things or their properties undergo.']",9.308001399040222,6.37,5.14266435554885,0.0,8.0,0.014765122,0.0
11,"['What does physics attempt to describe?', 'In simpler terms, physics attempts to describe the basic mechanisms that make our universe behave the way it does.']",8.659125566482544,7.571,4.840223928941851,0.0,5.0,0.013005874,0.0
12,"['What kind of things can be described with physics?', 'For example, consider a smart phone.']",9.584189057350159,8.924,4.321928094887362,0.0,8.0,0.014136819,0.5
13,"['What does physics describe about the smart phone?', 'Physics describes how electric current interacts with the various circuits inside the device.']",8.988881707191467,6.928,4.643856189774724,0.0,7.0,0.0103670005,0.5
14,"['What does this mean for the design of the smart phone?', 'This knowledge helps engineers select the appropriate materials and circuit layout when building the smart phone.']",9.129716753959656,6.623,4.82516405232236,0.0,10.0,0.009236055,0.0
15,"['What other things can be described with physics?', 'Next, consider a GPS.']",9.75665032863617,9.077,4.08746284125034,0.0,7.0,0.012943043,1.0
16,"['What does physics describe?', 'Physics describes the relationship between the speed of an object, the distance over which it travels, and the time it takes to travel that distance.']",8.78380537033081,7.368,5.129283016944966,0.0,3.0,0.011183795,0.0
17,"['How is this applied to GPS?', 'When you use a GPS device in a vehicle, it utilizes these physics relationships to determine the travel time from one location to another.']",8.040642738342285,6.470999999999999,5.129283016944966,0.0,5.0,0.010115679,0.0
18,"['What was the purpose of this document?', 'As our technology evolved over the centuries, physics expanded into many branches.']",8.90263020992279,6.183,4.584962500721156,0.0,6.0,0.015267765,1.0
19,"['What was the early use of physics?', 'Ancient peoples could only study things that they could see with the naked eye or otherwise experience without the aid of scientific equipment.']",8.941343426704407,6.470999999999999,5.087462841250341,0.0,6.0,0.014765122,0.0
