,tuple,relevance,flesch_reading_ease,bigram_entropy,is_general,distinct_3,toxicity,Q_A_eval
0,"['What is psychology?', 'The field of psychology explores questions like these.']",9.703490138053894,5.743,3.906890595608519,0.0,2.0,0.022139108,0.0
1,"['What does it study?', 'Psychology refers to the scientific study of the mind and behavior.']",9.147256016731262,7.231999999999999,4.247927513443585,0.0,3.0,0.013948329,0.0
2,"['How do psychologists acquire knowledge?', 'Psychologists use the scientific method to acquire knowledge.']",9.574714303016663,3.104,3.96981578242681,0.0,4.0,0.05799546,0.0
3,"['How does the scientific method work?', 'To apply the scientific method, a researcher with a question about how or why something happens will propose a tentative explanation, called a hypothesis, to explain the phenomenon.']",8.363332152366638,4.576,5.2599910290083285,0.0,5.0,0.011686437,0.0
4,"['What is a hypothesis?', 'A hypothesis should fit into the context of a scientific theory, which is a broad explanation or group of explanations for some aspect of the natural world that is consistently supported by evidence over time.']",9.481027722358704,4.322,5.413977073182752,0.0,3.0,0.01024134,0.0
5,"['What is the theory?', 'A theory is the best understanding we have of that part of the natural world.']",9.496670365333557,7.029000000000001,4.436605434317882,0.0,3.0,0.01017851,0.0
6,"['What happens after that?', 'The researcher then makes observations or carries out an experiment to test the validity of the hypothesis.']",9.370604157447815,4.39,4.643856189774724,0.0,3.0,0.01834645,0.0
7,"['What do those results show?', 'Those results are then published or presented at research conferences so that others can replicate or build on the results.']",9.2631596326828,7.571,4.857980995127571,0.0,4.0,0.010429831,0.0
8,"['What is perceivable and measurable?', 'Scientists test that which is perceivable and measurable.']",9.693554043769836,4.796,3.7345216647797512,0.0,4.0,0.010115679,0.0
9,"['What are the perceivable and measurable things?', 'For example, the hypothesis that a bird sings because it is happy is not a hypothesis that can be tested since we have no way to measure the happiness of a bird.']",9.337589144706726,6.014,5.3685225277282065,0.0,6.0,0.010304171,0.0
10,"['What does it mean when we have no way to measure it?', 'We must ask a different question, perhaps about the brain state of the bird, since this can be measured.']",9.462542533874512,8.958,5.209453365628952,0.0,11.0,0.009801528,0.0
11,"['What is the difference between perceivable and measurable?', 'However, we can ask individuals about whether they sing because they are happy since they are able to tell us.']",9.411884546279907,6.573,4.983788058752394,0.0,7.0,0.011120965,0.0
12,"['What is empirical science?', 'Thus, psychological science is empirical, based on measurable data.']",9.77134883403778,1.412,4.142664355548849,0.0,3.0,0.011058134,1.0
13,"['Why does science differ from psychology?', 'In general, science deals only with matter and energy, that is, those things that can be measured, and it cannot arrive at knowledge about values and morality.']",9.38336193561554,5.473,5.39231742277876,0.0,5.0,0.022610499,0.0
14,"['What do you have to say about that?', 'This is one reason why our scientific understanding of the mind is so limited, since thoughts, at least as we experience them, are neither matter nor energy.']",9.230844974517822,6.2170000000000005,5.39231742277876,0.0,7.0,0.017843807,0.0
15,"['What else is scientific?', 'The scientific method is also a form of empiricism.']",9.715375900268555,5.642,4.08746284125034,0.0,3.0,0.013005874,0.0
16,"['What is empiricism?', 'An empirical method for acquiring knowledge is one based on observation, including experimentation, rather than a method based only on forms of logical argument or previous authorities.']",8.866190314292908,3.087,5.169925001442313,0.0,2.0,0.010743983,0.0
