,tuple,relevance,flesch_reading_ease,bigram_entropy,is_general,distinct_3,toxicity,Q_A_eval
0,"['What is the field of psychology?', 'The field of psychology explores questions like these.']",9.743395447731018,6.437,3.9477027792200907,0.0,5.0,0.02308189,0.0
1,"['What does psychology refer to?', 'Psychology refers to the scientific study of the mind and behavior.']",9.538609385490417,4.644,4.321928094887362,0.0,4.0,0.020842785,0.0
2,"['What do psychologists use to acquire knowledge?', 'Psychologists use the scientific method to acquire knowledge.']",9.57269549369812,3.848,4.037401197654112,0.0,6.0,0.04315203,0.0
3,"['How does the scientific method work?', 'To apply the scientific method, a researcher with a question about how or why something happens will propose a tentative explanation, called a hypothesis, to explain the phenomenon.']",8.363332152366638,4.576,5.2599910290083285,0.0,5.0,0.011686437,0.0
4,"['What is a hypothesis?', 'A hypothesis should fit into the context of a scientific theory, which is a broad explanation or group of explanations for some aspect of the natural world that is consistently supported by evidence over time.']",9.481027722358704,4.322,5.413977073182752,0.0,3.0,0.01024134,0.0
5,"['What is the best understanding we have of that part of the natural world?', 'A theory is the best understanding we have of that part of the natural world.']",9.466685056686401,7.368,4.317121392085726,0.0,13.0,0.012000589,0.0
6,"['What does the researcher do after that?', 'The researcher then makes observations or carries out an experiment to test the validity of the hypothesis.']",9.482039213180542,5.0840000000000005,4.807354922057605,0.0,6.0,0.011497946,0.0
7,"['What are those results used for?', 'Those results are then published or presented at research conferences so that others can replicate or build on the results.']",8.910512328147888,7.5200000000000005,4.906890595608518,0.0,5.0,0.011937759,0.0
8,"['What is perceivable and measurable?', 'Scientists test that which is perceivable and measurable.']",9.693554043769836,4.796,3.7345216647797512,0.0,4.0,0.010115679,0.0
9,"['What are the perceivable and measurable things?', 'For example, the hypothesis that a bird sings because it is happy is not a hypothesis that can be tested since we have no way to measure the happiness of a bird.']",9.337589144706726,6.014,5.3685225277282065,0.0,6.0,0.010304171,0.0
10,"['What does it mean when we have no way to measure it?', 'We must ask a different question, perhaps about the brain state of the bird, since this can be measured.']",9.462542533874512,8.958,5.209453365628952,0.0,11.0,0.009801528,0.0
11,"['What is the difference between perceivable and measurable?', 'However, we can ask individuals about whether they sing because they are happy since they are able to tell us.']",9.411884546279907,6.573,4.983788058752394,0.0,7.0,0.011120965,0.0
12,"['What is the basis of empirical science?', 'Thus, psychological science is empirical, based on measurable data.']",9.72091555595398,2.952,4.459431618637297,0.0,6.0,0.01218908,1.0
13,"['What is the difference between science and psychology?', 'In general, science deals only with matter and energy, that is, those things that can be measured, and it cannot arrive at knowledge about values and morality.']",9.437788128852844,5.371,5.459431618637298,0.0,7.0,0.021432023,0.5
14,"['What do you think about the mind?', 'This is one reason why our scientific understanding of the mind is so limited, since thoughts, at least as we experience them, are neither matter nor energy.']",9.158766865730286,6.268,5.308771516813207,0.0,6.0,0.059727192,0.5
15,"['What is a form of empiricism?', 'The scientific method is also a form of empiricism.']",9.864533543586731,7.231999999999999,3.932138039759376,0.0,5.0,0.010618322,0.5
16,"['What is an empirical method for acquiring knowledge?', 'An empirical method for acquiring knowledge is one based on observation, including experimentation, rather than a method based only on forms of logical argument or previous authorities.']",9.427181482315063,2.8329999999999997,5.162430053398572,0.0,7.0,0.011497946,1.0
17,"['What was the historical background of psychology?', 'It was not until the late 1800s that psychology became accepted as its own academic discipline.']",9.689356088638306,4.288,4.754887502163469,0.0,6.0,0.017215505,0.0
18,"['What was considered its most important contribution?', 'Before this time, the workings of the mind were considered under the auspices of philosophy.']",9.539068341255188,5.1850000000000005,4.754887502163469,0.0,6.0,0.0065657673,0.0
19,"['What was psychology like?', 'Given that any behavior is, at its roots, biological, some areas of psychology take on aspects of a natural science like biology.']",9.258171319961548,4.136,5.044394119358453,0.0,3.0,0.019477395,0.5
