,tuple,relevance,flesch_reading_ease,bigram_entropy,is_general,distinct_3,Q_A_eval
0,"['Can you describe what happens when a golfer swings to hit a ball over a sand trap and onto the green?', 'A golfer swings to hit a ball over a sand trap and onto the green.']",9.67690110206604,9.551,4.671928094887364,0.0,20.0,0.0
1,"['How does an airline pilot maneuver a plane toward a narrow runway?', 'An airline pilot maneuvers a plane toward a narrow runway.']",8.728411197662354,6.031000000000001,4.238901256602632,0.0,11.0,0.0
2,"['Can you explain how a dress designer creates the latest fashion?', 'A dress designer creates the latest fashion.']",8.9780592918396,6.234,4.004886164091843,0.0,10.0,0.5
3,"['What does it mean when we talk about measuring angles exactly with instruments?', 'Sometimes we need to measure angles exactly with instruments.']",9.102370738983154,6.031000000000001,4.469670487371864,0.0,12.0,0.5
4,"['Can you tell me when we might need to estimate angles or judge them by eye?', 'Other times we estimate them or judge them by eye.']",9.29547131061554,9.212,4.640223928941852,0.0,15.0,0.0
5,"['What does the proper angle mean for the success of different undertakings?', 'Either way, the proper angle can make the difference between success and failure in many undertakings.']",9.25238311290741,4.881,4.923181998146332,0.0,11.0,0.0
6,"['What will we be examining in this section about angles?', 'In this section, we will examine properties of angles.']",9.535154104232788,6.183,4.501629167387825,0.0,9.0,0.5
7,"['What does defining an angle require first, according to your textbook?', 'Properly defining an angle first requires that we define a ray.']",9.284981489181519,6.877,4.60673935401532,0.0,11.0,0.5
8,"['And what does it mean for a line segment to be directed?', 'A ray is a directed line segment.']",9.585873484611511,8.721,4.436605434317882,0.0,11.0,1.0
9,"['Can you describe the properties of a ray?', 'It consists of one point on a line and all points extending in one direction from that point.']",9.584817886352539,8.366,4.906890595608518,0.0,7.0,0.0
10,"['What is the term for the first point of a ray?', 'The first point is called the endpoint of the ray.']",9.783212542533875,10.0,4.563856189774724,0.0,10.0,0.0
11,"['How can we refer to a specific ray?', 'We can refer to a specific ray by stating its endpoint and any other point on it.']",9.426544308662415,7.571,4.582118926162055,0.0,7.0,0.0
12,"[""Can you give an example of how to name a specific ray using your textbook's figure?"", 'The ray in Figure 1 can be named as ray EF, or in symbol form $$\\(\\overset{\\longrightarrow}{EF}.\\)$$']",9.267143607139587,7.215999999999999,5.6332096556969855,0.0,16.0,0.0
13,"['Can you define what an angle is?', 'An angle is the union of two rays having a common endpoint.']",8.142242431640625,8.721,4.436605434317882,0.0,6.0,1.0
14,"['What are the names given to the endpoint and the two rays in the context of an angle?', 'The endpoint is called the vertex of the angle, and the two rays are the sides of the angle.']",9.650497436523438,8.654,5.106603137064473,0.0,17.0,1.0
15,"['What rays form the angle in Figure 2?', 'The angle in Figure 2 is formed from $$\\(\\overset{\\longrightarrow}{ED}\\)$$ and $$\\(\\overset{\\longrightarrow}{EF}\\)$$.']",9.213093519210815,6.183,5.005758675304828,0.0,7.0,0.0
16,"['How can we name the angles?', 'Angles can be named using a point on each ray and the vertex, such as angle DEF, or in symbol form $$\\(\\angle DEF.\\)$$']",8.729127049446106,9.059999999999999,5.308771516813207,0.0,5.0,0.5
17,"['What symbols or characters are commonly used to represent the measurement of an angle in mathematical concepts?', 'Greek letters are often used as variables for the measure of an angle.']",9.671076536178589,4.779,4.96981578242681,0.0,16.0,0.5
18,"['Can you name some specific Greek letters that are used to represent angles, or show where these can be found?', 'Table 1 is a list of Greek letters commonly used to represent angles, and a sample angle is shown in Figure 3.']",9.87649142742157,6.708,5.376629167387823,0.0,20.0,0.5
19,"['Can you explain how the creation of an angle in standard position works?', 'Angle creation is a dynamic process.']",9.810413718223572,7.029000000000001,4.523561956057013,0.0,12.0,0.5
20,"['What comes next after the two rays are on top of each other?', 'We start with two rays lying on top of one another.']",9.678939580917358,9.314,4.593069207771891,0.0,12.0,0.0
21,"['What do we do with the second ray, after the two rays are lying on top of each other?', 'We leave one fixed in place, and rotate the other.']",9.578227996826172,9.059999999999999,5.129283016944966,0.0,19.0,0.0
22,"['What are the terms we use to refer to the fixed ray and the rotated ray?', 'The fixed ray is the initial side, and the rotated ray is the terminal side.']",9.530288577079773,8.112,4.83659166810898,0.0,15.0,0.0
23,"['How do we indicate which side is the initial and which is the terminal side in our drawing?', 'In order to identify the different sides, we indicate the rotation with a small arrow close to the vertex as in Figure 4.']",9.76138174533844,6.759,5.436605434317882,0.0,17.0,0.0
24,"[""Can you give an example of how angles are used in real-world applications and explain why it's important to measure them correctly?"", 'As we discussed at the beginning of the section, there are many applications for angles, but in order to use them correctly, we must be able to measure them.']",9.900161623954773,5.404999999999999,5.780948134107604,0.0,22.0,0.0
25,"['What is the meaning of the measure of an angle, and how is it determined in regards to the initial side and the terminal side?', 'The measure of an angle is the amount of rotation from the initial side to the terminal side.']",9.313799738883972,6.656999999999999,5.209962500721158,0.0,25.0,0.0
26,"['What is the most common unit of measure for angles?', 'Probably the most familiar unit of angle measurement is the degree.']",9.81531023979187,6.928,4.403856189774722,0.0,9.0,1.0
27,"['Can you explain what a degree is in relation to a circular rotation?', 'One degree is $$\\(\\frac{1}{360}\\)$$ of a circular rotation, so a complete circular rotation contains $$\\(360\\)$$ degrees.']",9.62120771408081,4.83,5.367634486212597,0.0,12.0,0.0
28,"['How should an angle measured in degrees be properly notated?', 'An angle measured in degrees should always include the unit “degrees” after the number, or include the degree symbol $$\\({^\\circ}.\\)$$']",9.461060166358948,5.625,5.306170651709187,0.0,9.0,1.0
29,"['Can you provide an example of an angle measurement expressed with correct notation?', 'For example, $$\\(90\\mspace{14mu}\\text{degrees} = 90{^\\circ}.\\)$$']",7.1832674741744995,3.747,5.271928094887364,0.0,12.0,0.0
30,"['What will be our first step to systematize our knowledge about drawing angles?', 'To formalize our work, we will begin by drawing angles on an x-y coordinate plane.']",9.496870636940002,6.573,4.983788058752394,0.0,12.0,0.5
31,"['Why do we choose to illustrate angles in the same position on the coordinate plane?', 'Angles can occur in any position on the coordinate plane, but for the purpose of comparison, the convention is to illustrate them in the same position whenever possible.']",9.54359233379364,4.119,5.288179231870311,0.0,14.0,0.0
32,"['What defines an angle in standard position?', 'An angle is in standard position if its vertex is located at the origin, and its initial side extends along the positive x-axis.']",9.150345921516418,5.625,5.0149973026592525,0.0,6.0,0.5
33,"['Where can we find an example of an angle drawn in standard position?', 'See Figure 5.']",9.479296803474426,8.028,4.321928094887362,0.0,12.0,1.0
34,"['How do we determine if an angle is positive or negative in standard position?', 'If the angle is measured in a counterclockwise direction from the initial side to the terminal side, the angle is said to be a positive angle.']",9.556639790534973,5.118,5.341744485170487,0.0,13.0,0.5
35,"['And what if the angle is measured in a clockwise direction from the initial side to the terminal side?', 'If the angle is measured in a clockwise direction, the angle is said to be a negative angle.']",9.843706488609314,6.116,4.927798970294786,0.0,18.0,1.0
36,"['Can you explain how to begin drawing an angle in standard position?', 'Drawing an angle in standard position always starts the same way—draw the initial side along the positive x-axis.']",9.497718811035156,5.625,4.852168723603282,0.0,11.0,0.5
37,"['And how do you calculate the fraction of a full rotation that the angle represents?', 'To place the terminal side of the angle, we must calculate the fraction of a full rotation the angle represents.']",9.424740672111511,6.2170000000000005,4.853055907333277,0.0,14.0,0.5
38,"['And how do you determine the direction of rotation for the angle?', 'We do that by dividing the angle measure in degrees by $$\\(360{^\\circ}.\\)$$']",9.351105690002441,6.776000000000001,5.14266435554885,0.0,11.0,0.0
39,"[""What's the next step after determining the fraction of a full rotation that an angle represents?"", 'For example, to draw a $$\\(90{^\\circ}\\)$$ angle, we calculate that $$\\(\\frac{90{^\\circ}\\operatorname{}}{360{^\\circ}} = \\frac{1}{4}.\\)$$']",8.476144075393677,3.189,5.808688357104854,0.0,16.0,0.0
40,"['How would you draw an angle that is greater than 360 degrees or a negative angle?', 'So, the terminal side will be one-fourth of the way around the circle, moving counterclockwise from the positive x-axis.']",9.382371306419373,6.2170000000000005,5.357552004618084,0.0,15.0,0.0
41,"['And how should we interpret the result when the fraction equals to 1 for angle drawing?', 'To draw a $$\\(360{^\\circ}\\operatorname{}\\)$$ angle, we calculate that $$\\(\\frac{360{^\\circ}}{360{^\\circ}} = 1.\\)$$']",9.282965064048767,4.982,5.495864648336088,0.0,15.0,0.0
42,"['What about fractional results that are not whole numbers or 1, such as 0.5 or 0.75, how would we interpret those for angle drawing?', 'So the terminal side will be 1 complete rotation around the circle, moving counterclockwise from the positive x-axis.']",9.84870195388794,6.928,5.614709844115209,0.0,25.0,0.0
43,"['Can you illustrate how we would handle drawing an angle that represented only half or three-quarters of a full rotation?', 'In this case, the initial side and the terminal side overlap.']",9.699864983558655,6.42,5.169925001442313,0.0,19.0,0.0
44,"['What does Figure 6 illustrate in terms of drawing angles in standard position?', 'See Figure 6.']",9.285631775856018,6.336,4.221928094887361,0.0,12.0,0.0
45,"['What does it mean to define an angle in standard position? Can you give an example of a specific type of angle defined this way?', 'Since we define an angle in standard position by its terminal side, we have a special type of angle whose terminal side lies on an axis, a quadrantal angle.']",9.59363579750061,6.167,5.6684422555956715,0.0,25.0,0.5
46,"['What are the possible measures of a quadrantal angle?', 'This type of angle can have a measure of 0°, 90°, 180°, 270°, or  360°.']",9.729475378990173,8.468,5.0,0.0,8.0,1.0
47,"['Where can we visually see examples of a quadrantal angle?', 'See Figure 7.']",9.826077818870544,6.4879999999999995,4.08746284125034,0.0,9.0,1.0
