,tuple,relevance,flesch_reading_ease,bigram_entropy,is_general,distinct_3,Q_A_eval
0,"[""Teacher: Who are some of the stakeholders that can be affected by a business's decisions?"", 'Clients, customers, suppliers, investors, retailers, employees, the media, the government, members of the surrounding community, competitors, and even the environment are stakeholders in a business; that is, they are individuals and entities affected by the business’s decisions.']",9.760335683822632,2.817,6.058813890331202,0.0,16.0,0.0
1,"['Teacher: Why is it important for a business to consider the impact of their decisions on stakeholders?', 'Stakeholders typically value a leadership team that chooses the ethical way to accomplish the company’s legitimate for-profit goals.']",9.538557529449463,2.8329999999999997,5.39231742277876,0.0,17.0,0.0
2,"['Teacher: How does Patagonia\'s commitment to environmentalism through its ""1% for the Planet"" program align with the concept of acting with integrity?', 'For example, Patagonia expresses its commitment to environmentalism via its “1% for the Planet” program, which donates 1 percent of all sales to help save the planet.']",9.672713279724121,3.815,5.786803733023726,0.0,26.0,1.0
3,"['Teacher: How does Patagonia\'s commitment to environmentalism and its ""1% for the Planet"" program align with the concept of acting with integrity?', 'In part because of this program, Patagonia has become a market leader in outdoor gear.']",9.731561541557312,5.2700000000000005,5.554588851677637,0.0,26.0,1.0
4,"['Teacher: What does the passage imply about the meaning of success in a professional setting?', 'Being successful at work may therefore consist of much more than simply earning money and promotions.']",9.822261333465576,5.574,5.169925001442313,0.0,15.0,1.0
5,"['Teacher: How does the passage suggest that success in a professional setting extends beyond financial gain and career advancement?', 'It may also mean treating our employees, customers, and clients with honesty and respect.']",9.853612780570984,4.627000000000001,5.321928094887363,0.0,19.0,1.0
6,"['Teacher: How does the passage suggest that success in a professional setting is tied to personal values and integrity?', 'It may come from the sense of pride we feel about engaging in honest transactions, not just because the law demands it but because we demand it of ourselves.']",9.7845458984375,5.558,5.75488750216347,0.0,19.0,0.0
7,"['Teacher: How does the passage imply that acting with integrity in a professional setting contributes to a sense of personal success?', 'It may lie in knowing the profit we make does not come from shortchanging others.']",9.834957718849182,5.321,5.357552004618084,0.0,21.0,0.0
8,"['Teacher: How does the passage suggest that acting with integrity in a professional setting is connected to the ethical behavior of businesses and their agents?', 'Thus, business ethics guides the conduct by which companies and their agents abide by the law and respect the rights of their stakeholders, particularly their customers, clients, employees, and the surrounding community and environment.']",9.218358993530273,3.307,6.0505534422854135,0.0,25.0,0.0
9,"['Teacher: How does the passage imply that acting with integrity in a professional setting contributes to the overall reputation and ethical behavior of businesses and their agents?', 'Ethical business conduct permits us to sleep well at night.']",9.154267311096191,4.424,5.39231742277876,0.0,27.0,0.5
10,"['Teacher: According to the passage, what are the three building blocks emphasized by nearly all systems of religious belief when engaging with others?', 'Nearly all systems of religious belief stress the building blocks of engaging others with respect, empathy, and honesty.']",9.715569019317627,4.221,5.410628211462147,0.0,24.0,1.0
11,"['Teacher: How do the foundational beliefs of engaging with respect, empathy, and honesty prepare us for the codes of ethical behavior in business and the professions?', 'These foundational beliefs, in turn, prepare us for the codes of ethical behavior that serve as ideal guides for business and the professions.']",9.818958044052124,3.815,5.478670650299985,0.0,28.0,1.0
12,"['Teacher: What is the main point the student is making about ethical behavior in business?', 'Still, we need not subscribe to any religious faith to hold that ethical behavior in business is still necessary.']",9.760758876800537,6.268,5.171928094887364,0.0,15.0,0.0
13,"['Teacher: How does the requirement to treat others with fairness and dignity apply to our commercial transactions?', 'Just by virtue of being human, we all share obligations to one another, and principal among these is the requirement that we treat others with fairness and dignity, including in our commercial transactions.']",9.83691155910492,4.61,5.582118926162055,0.0,17.0,1.0
