,tuple,relevance,flesch_reading_ease,bigram_entropy,is_general,distinct_3,Q_A_eval
0,"['Teacher: What kind of questions does the field of psychology explore?', 'The field of psychology explores questions like these.']",9.405691027641296,6.183,4.418295834054491,0.0,11.0,0.0
1,"['Teacher: Can you provide some examples of the topics that fall under the study of psychology?', 'Psychology refers to the scientific study of the mind and behavior.']",9.68849241733551,5.777,4.874999999999998,0.0,16.0,0.0
2,"['Teacher: How do psychologists use the scientific method to acquire knowledge in the study of psychology?', 'Psychologists use the scientific method to acquire knowledge.']",9.774109125137329,4.238,4.444187891679295,0.0,16.0,1.0
3,"['Teacher: How does a psychologist go about testing their hypothesis using the scientific method?', 'To apply the scientific method, a researcher with a question about how or why something happens will propose a tentative explanation, called a hypothesis, to explain the phenomenon.']",9.594302773475647,3.3240000000000003,5.563856189774724,0.0,14.0,0.0
4,"['Teacher: Can you explain the role of evidence in supporting a scientific theory?', 'A hypothesis should fit into the context of a scientific theory, which is a broad explanation or group of explanations for some aspect of the natural world that is consistently supported by evidence over time.']",9.671666026115417,3.02,5.680813428089395,0.0,13.0,0.0
5,"['Teacher: What is the significance of scientific theories in the field of psychology?', 'A theory is the best understanding we have of that part of the natural world.']",9.861376881599426,4.881,4.983788058752394,0.0,13.0,0.0
6,"['What is the purpose of making observations or carrying out experiments in testing the validity of a hypothesis?', 'The researcher then makes observations or carries out an experiment to test the validity of the hypothesis.']",9.765828847885132,2.8329999999999997,5.131556065016094,0.0,17.0,0.0
7,"['What is the importance of replicating or building on the results of a study in the field of psychology?', 'Those results are then published or presented at research conferences so that others can replicate or build on the results.']",9.608742594718933,6.014,5.333241498888144,0.0,18.0,0.0
8,"['Teacher: How do scientists determine what they can test in the field of psychology?', 'Scientists test that which is perceivable and measurable.']",9.588208198547363,6.031000000000001,4.754887502163469,0.0,14.0,0.5
9,"['Teacher: Can you give me another example of a hypothesis in psychology that cannot be tested because it cannot be measured?', 'For example, the hypothesis that a bird sings because it is happy is not a hypothesis that can be tested since we have no way to measure the happiness of a bird.']",9.7881418466568,4.458,5.63565537034977,0.0,22.0,0.0
10,"['Teacher: Why is the hypothesis that a bird sings because it is happy not testable in psychology?', 'We must ask a different question, perhaps about the brain state of the bird, since this can be measured.']",9.899552464485168,7.013,5.426264754702098,0.0,17.0,0.0
11,"['Teacher: How can asking individuals about their feelings help in testing hypotheses in psychology?', 'However, we can ask individuals about whether they sing because they are happy since they are able to tell us.']",9.641280174255371,5.422,5.221928094887363,0.0,14.0,0.0
12,"['Teacher: Can you explain why it is important for psychological science to be based on measurable data?', 'Thus, psychological science is empirical, based on measurable data.']",9.381916522979736,3.29,4.801969876934211,0.0,17.0,0.5
13,"['Teacher: How does science typically limit its scope when it comes to the subjects it investigates?', 'In general, science deals only with matter and energy, that is, those things that can be measured, and it cannot arrive at knowledge about values and morality.']",9.55693006515503,4.965,5.727920454563198,0.0,16.0,0.0
14,"['Teacher: Why is our scientific understanding of the mind limited, according to the student?', 'This is one reason why our scientific understanding of the mind is so limited, since thoughts, at least as we experience them, are neither matter nor energy.']",9.691452980041504,4.221,5.403856189774724,0.0,15.0,1.0
15,"['Teacher: How does the scientific method contribute to our understanding of the mind?', 'The scientific method is also a form of empiricism.']",9.495679140090942,5.1850000000000005,4.680813428089395,0.0,13.0,0.5
16,"['Teacher: How does the scientific method help us gain knowledge about the mind?', 'An empirical method for acquiring knowledge is one based on observation, including experimentation, rather than a method based only on forms of logical argument or previous authorities.']",9.564581513404846,3.4259999999999997,5.554588851677637,0.0,13.0,1.0
17,"['Teacher: When did psychology become accepted as its own academic discipline?', 'It was not until the late 1800s that psychology became accepted as its own academic discipline.']",9.54835295677185,4.085,4.687499999999999,0.0,11.0,1.0
18,"['Teacher: What field of study was responsible for exploring the workings of the mind before psychology emerged as its own academic discipline?', 'Before this time, the workings of the mind were considered under the auspices of philosophy.']",9.619943499565125,5.2700000000000005,5.2402182430741915,0.0,22.0,1.0
19,"['Teacher: How does the understanding that behavior is rooted in biology contribute to the scientific nature of psychology?', 'Given that any behavior is, at its roots, biological, some areas of psychology take on aspects of a natural science like biology.']",9.810002446174622,2.58,5.501629167387824,0.0,18.0,0.0
20,"['Teacher: How does the influence of our interactions with others relate to the study of psychology?', 'No biological organism exists in isolation, and our behavior is influenced by our interactions with others.']",9.848836064338684,2.9859999999999998,5.090032776601481,0.0,16.0,0.5
21,"['Can you provide an example of how the field of psychology incorporates elements of both natural science and social science?', 'Therefore, psychology is also a social science.']",9.906029105186462,3.239,4.937499999999999,0.0,19.0,1.0
22,"['Teacher: What are some common reasons why students take their first psychology course?', 'Often, students take their first psychology course because they are interested in helping others and want to learn more about themselves and why they act the way they do.']",9.574193954467773,5.862,5.376629167387823,0.0,13.0,0.5
23,"['Teacher: Can you give an example of a specific program of study that requires students to take a psychology course?', 'Sometimes, students take a psychology course because it either satisfies a general education requirement or is required for a program of study such as nursing or pre-med.']",9.591967463493347,4.762,5.5392412092801795,0.0,20.0,1.0
24,"[""Teacher: What role does their initial interest in helping others and learning about themselves play in students' decision to declare psychology as their major?"", 'Many of these students develop such an interest in the area that they go on to declare psychology as their major.']",9.674819707870483,4.864,5.437131224324435,0.0,25.0,0.0
25,"['Teacher: Why do many students choose to declare psychology as their major?', 'As a result, psychology is one of the most popular majors on college campuses across the United States (Johnson & Lubin, 2011).']",9.699474573135376,5.473,5.426264754702098,0.0,12.0,0.0
26,"['Teacher: What are some examples of well-known individuals who were psychology majors?', 'A number of well-known individuals were psychology majors.']",9.54976201057434,1.903,4.323856189774723,0.0,12.0,0.0
27,"['Teacher: Can you provide some reasons why these well-known individuals chose to major in psychology?', 'Just a few famous names on this list are Facebook’s creator Mark Zuckerberg, television personality and political satirist Jon Stewart, actress Natalie Portman, and filmmaker Wes Craven (Halonen, 2011).']",9.126620888710022,3.222,5.832890014164742,0.0,15.0,0.0
28,"[""Teacher: What percentage of bachelor's degrees in the United States are in the discipline of psychology?"", 'About 6 percent of all bachelor degrees granted in the United States are in the discipline of psychology (U.S. Department of Education, 2016).']",9.820052981376648,4.982,5.126629167387824,0.0,17.0,1.0
29,"['Teacher: What are some of the reasons that make an education in psychology valuable?', 'An education in psychology is valuable for a number of reasons.']",9.509690403938293,5.0329999999999995,4.773557262275185,0.0,14.0,0.0
30,"['Teacher: How does studying psychology help students develop critical thinking skills and use the scientific method?', 'Psychology students hone critical thinking skills and are trained in the use of the scientific method.']",9.63885486125946,3.832,4.93918309535868,0.0,16.0,1.0
31,"['Teacher: Can you provide an example of how psychology students apply critical thinking skills in their studies and research?', 'Critical thinking is the active application of a set of skills to information for the understanding and evaluation of that information.']",9.641887545585632,3.4259999999999997,5.491853096329675,0.0,19.0,0.0
