,tuple,relevance,flesch_reading_ease,bigram_entropy,is_general,distinct_3,toxicity,Q_A_eval
0,"['What is it about?', 'Clients, customers, suppliers, investors, retailers, employees, the media, the government, members of the surrounding community, competitors, and even the environment are stakeholders in a business; that is, they are individuals and entities affected by the business’s decisions.']",8.604660034179688,2.529,5.848744744277095,0.0,3.0,0.01608456,0.5
1,"['How does that affect the business?', 'Stakeholders typically value a leadership team that chooses the ethical way to accomplish the company’s legitimate for-profit goals.']",8.031170964241028,3.3920000000000003,4.906890595608518,0.0,5.0,0.0064086914,0.0
2,"['What else was important about this article?', 'For example, Patagonia expresses its commitment to environmentalism via its “1% for the Planet” program, which donates 1 percent of all sales to help save the planet.']",9.337908625602722,5.422,5.426264754702098,0.0,6.0,0.030506283,0.0
3,"['What was the result of that program?', 'In part because of this program, Patagonia has become a market leader in outdoor gear.']",9.38056468963623,6.877,4.754887502163469,0.0,6.0,0.01225191,0.5
4,"['What else do you need to know about this text?', 'Being successful at work may therefore consist of much more than simply earning money and promotions.']",9.670543670654297,7.5200000000000005,4.906890595608518,0.0,9.0,0.05750068,1.0
5,"['What else does being successful at work consist of?', 'It may also mean treating our employees, customers, and clients with honesty and respect.']",9.348355531692505,6.8260000000000005,4.857980995127571,0.0,8.0,0.013948329,0.0
6,"['What else does acting with integrity consist of?', 'It may come from the sense of pride we feel about engaging in honest transactions, not just because the law demands it but because we demand it of ourselves.']",9.098962545394897,6.962000000000001,5.39231742277876,0.0,7.0,0.015267765,0.5
7,"['What else is integrity?', 'It may lie in knowing the profit we make does not come from shortchanging others.']",9.689481854438782,7.875,4.523561956057013,0.0,3.0,0.018723432,0.0
8,"['Why is this important?', 'Thus, business ethics guides the conduct by which companies and their agents abide by the law and respect the rights of their stakeholders, particularly their customers, clients, employees, and the surrounding community and environment.']",8.321341276168823,5.218999999999999,5.554588851677637,0.0,3.0,0.012943043,0.0
9,"['What is a major reason for this?', 'Ethical business conduct permits us to sleep well at night.']",8.068328499794006,7.976999999999999,4.392317422778759,0.0,6.0,0.011372286,1.0
10,"['What are some important parts of this paper?', 'Nearly all systems of religious belief stress the building blocks of engaging others with respect, empathy, and honesty.']",8.374142050743103,5.828,5.0,0.0,7.0,0.015267765,1.0
11,"['What does this lead to?', 'These foundational beliefs, in turn, prepare us for the codes of ethical behavior that serve as ideal guides for business and the professions.']",9.148698449134827,6.573,5.087462841250341,0.0,4.0,0.013257195,1.0
12,"['What does this mean to others?', 'Still, we need not subscribe to any religious faith to hold that ethical behavior in business is still necessary.']",8.676493167877197,7.571,4.906890595608518,0.0,5.0,0.010743983,0.5
13,"['How does this affect the general public?', 'Just by virtue of being human, we all share obligations to one another, and principal among these is the requirement that we treat others with fairness and dignity, including in our commercial transactions.']",7.730628252029419,5.118,5.554588851677637,0.0,6.0,0.00823077,0.0
14,"['What else is significant about this title?', 'For this reason, we use the words ethics and morals interchangeably in this book, though some philosophers distinguish between them.']",9.520382285118103,7.468999999999999,5.044394119358453,0.0,6.0,0.02308189,1.0
15,"['Who wrote this book?', 'We hold that “an ethical person” conveys the same sense as “a moral person,” and we do not regard religious belief as a requirement for acting ethically in business and the professions.']",8.940378427505493,6.167,5.491853096329675,0.0,3.0,0.023788974,0.0
16,"['Does the book have any other interesting aspects?', 'Because we are all humans and in the same world, we should extend the same behavior to all.']",9.206151366233826,7.5200000000000005,4.889680181354619,0.0,7.0,0.0109324735,0.5
17,"['Why do they say this?', 'It is the right way to behave, but it also burnishes our own professional reputation as business leaders of integrity.']",9.211152791976929,5.879,4.906890595608518,0.0,4.0,0.015770407,0.5
18,"['What does it mean to act with integrity?', 'Integrity—that is, unity between what we say and what we do—is a highly valued trait.']",9.767652153968811,8.518,4.735926350629033,0.0,7.0,0.0143253105,0.0
19,"['How is that characterized?', 'But it is more than just consistency of character.']",8.728108406066895,6.4879999999999995,4.08746284125034,0.0,3.0,0.013131535,0.5
20,"['What does it mean?', 'Acting with integrity means we adhere strongly to a code of ethics, so it implies trustworthiness and incorruptibility.']",9.276196956634521,6.031000000000001,4.754887502163469,0.0,3.0,0.010618322,0.5
21,"['How do you know you are acting with integrity?', 'Being a professional of integrity means consistently striving to be the best person you can be in all your interactions with others.']",9.56174373626709,5.574,5.129283016944966,0.0,8.0,0.036870047,0.0
22,"['What does that mean?', 'It means you practice what you preach, walk the talk, and do what you believe is right based upon reason.']",8.41708779335022,9.314,4.840223928941851,0.0,3.0,0.01225191,0.0
23,"['What else does the article cover?', 'Integrity in business brings many advantages, not the least of which is that it is a critical factor in allowing business and society to function properly.']",8.995992541313171,5.524,5.209453365628952,0.0,5.0,0.010618322,0.0
24,"['What is Acting with Integrity about?', 'Successful corporate leaders and the companies they represent will take pride in their enterprise if they engage in business with honesty and fair play.']",9.478480219841003,5.625,5.087462841250341,0.0,5.0,0.013948329,1.0
25,"['What are ethical behaviors?', 'To treat customers, clients, employees, and all those affected by a firm with dignity and respect is ethical.']",9.584548473358154,6.031000000000001,4.857980995127571,0.0,3.0,0.013822667,0.5
26,"['Why is it important to act with integrity?', 'In addition, laudable business practices serve the long-term interests of corporations.']",9.535313844680786,5.337,4.584962500721156,0.0,7.0,0.016210219,0.0
27,"['Why?', 'Because customers, clients, employees, and society at large will much more willingly patronize a business and work hard on its behalf if that business is perceived as caring about the community it serves.']",8.199418783187866,4.543,5.357552004618084,0.0,0.0,0.0065657673,0.0
28,"['What does it mean to be successful?', 'One whose track record gives evidence of honest business practice.']",9.774327874183655,7.976999999999999,4.392317422778759,0.0,6.0,0.023553278,0.0
29,"['Why did you choose this title?', 'Many people confuse legal and ethical compliance.']",9.784312844276428,6.4879999999999995,4.08746284125034,0.0,5.0,0.027560094,0.0
30,"['Are they the same?', 'They are, however, totally different and call for different standards of behavior.']",8.221953511238098,5.49,4.459431618637297,0.0,3.0,0.015958898,1.0
31,"['What is the difference?', 'The concepts are not interchangeable in any sense of the word.']",9.746432900428772,8.078,4.247927513443585,0.0,3.0,0.015204934,0.0
32,"['What are the consequences of not being honest?', 'The law is needed to establish and maintain a functioning society.']",9.63092565536499,6.183,4.523561956057013,0.0,7.0,0.027442247,0.0
33,"['What would life be like without the law?', 'Without it, our society would be in chaos.']",9.760927557945251,8.873999999999999,4.392317422778759,0.0,7.0,0.017969469,0.0
34,"['What is the punishment for breaking the law?', 'Compliance with these legal standards is strictly mandatory:']",9.61163580417633,6.336,4.321928094887362,0.0,7.0,0.026263772,0.0
35,"['What is the punishment?', 'If we violate these standards, we are subject to punishment as established by the law.']",9.431944489479065,7.029000000000001,4.584962500721156,0.0,3.0,0.026145924,0.0
36,"['Are these the same?', 'Therefore, compliance in terms of business ethics generally refers to the extent to which a company conducts its business operations in accordance with applicable regulations, statutes, and laws.']",7.855719327926636,4.678,5.285402218862246,0.0,3.0,0.015707577,0.5
37,"['What else is compliance related to?', 'Yet this represents only a baseline minimum.']",9.450731873512268,4.796,4.08746284125034,0.0,5.0,0.009613037,0.0
38,"['Is there more to the material?', 'Ethical observance builds on this baseline and reveals the principles of an individual business leader or a specific organization.']",9.168492555618286,3.3409999999999997,4.857980995127571,0.0,5.0,0.013822667,0.0
39,"['What is ethical observance?', 'Ethical acts are generally considered voluntary and personal—often based on our perception of or stand on right and wrong.']",9.671506881713867,5.134,4.754887502163469,0.0,3.0,0.010806813,0.5
40,"['Why would someone have to act with integrity?', 'Some professions, such as medicine and the law, have traditional codes of ethics.']",8.724398016929626,7.773999999999999,4.754887502163469,0.0,7.0,0.031213367,1.0
41,"['Did you know that medicine has a code of ethics?', 'The Hippocratic Oath, for example, is embraced by most professionals in health care today as an appropriate standard always owed to patients by physicians, nurses, and others in the field.']",9.500104188919067,5.964,5.584962500721157,0.0,9.0,0.015770407,0.0
42,"['When did this oath become popular?', 'This obligation traces its lineage to ancient Greece and the physician Hippocrates.']",9.626456499099731,7.08,4.459431618637297,0.0,5.0,0.036634352,0.0
43,"['Did you know that there is a code of ethics for businesses?', 'Business is different in not having a mutually shared standard of ethics.']",9.627835750579834,7.622,4.735926350629033,0.0,11.0,0.011560776,1.0
44,"['What did companies do in the past to develop this standard?', 'This is changing, however, as evidenced by the array of codes of conduct and mission statements many companies have adopted over the past century.']",9.753168225288391,6.2170000000000005,5.308771516813207,0.0,10.0,0.00823077,0.0
45,"['Are there any other ethical codes?', 'These have many points in common, and their shared content may eventually produce a code universally claimed by business practitioners.']",9.746886491775513,5.828,4.954196310386876,0.0,5.0,0.0126288915,0.0
46,"['What does a code of ethics consist of?', 'Essentially, a commitment to treat with honesty and integrity customers, clients, employees, and others affiliated with a business.']",9.62109088897705,4.982,5.087462841250341,0.0,7.0,0.010869644,0.0
47,"['What can we learn from the study material?', 'The law is typically indebted to tradition and precedence, and compelling reasons are needed to support any change.']",9.476181268692017,5.828,4.954196310386876,0.0,7.0,0.011874928,0.0
48,"['Does this mean the law is always the same?', 'Ethical reasoning often is more topical and reflects the changes in consciousness that individuals and society undergo.']",8.424937129020691,4.982,4.906890595608518,0.0,8.0,0.0109324735,0.0
49,"['What does this mean for us?', 'Often, ethical thought precedes and sets the stage for changes in the law.']",9.402794241905212,9.567,4.584962500721156,0.0,5.0,0.014890783,1.0
50,"['What does it mean to act with integrity?', 'Behaving ethically requires that we meet the mandatory standards of the law, but that is not enough.']",9.692861437797546,7.571,4.906890595608518,0.0,7.0,0.0143253105,0.5
51,"['What standards do we not meet?', 'For example, an action may be legal that we personally consider unacceptable.']",9.456619620323181,5.388,4.523561956057013,0.0,5.0,0.009801528,0.5
52,"['Who are the stakeholders in your opinion?', 'Companies today need to be focused not only on complying with the letter of the law but also on going above and beyond that basic mandatory requirement to consider their stakeholders and do what is right.']",7.357679009437561,5.811,5.554588851677637,0.0,6.0,0.022139108,0.0
53,"['how is this relevant to the lesson?', 'Philosophy and science help us answer this question.']",9.110772013664246,6.386,4.247927513443585,0.0,6.0,0.011120965,1.0
54,"['what did the philosophy entail?', 'From philosophy, three different perspectives help us assess whether our decisions are ethical on the basis of reason.']",8.7924063205719,4.288,4.807354922057605,0.0,4.0,0.015393426,0.0
55,"['what are these three perspectives?', 'These perspectives are called normative ethical theories and focus on how people ought to behave; we discuss them in this chapter and in later chapters.']",8.659667372703552,5.625,5.129283016944966,0.0,4.0,0.0137598375,0.5
56,"['what other views?', 'In contrast, descriptive ethical theories are based on scientific evidence, primarily in the field of psychology, and describe how people tend to behave within a particular context; however, they are not the subject of this book.']",9.042417407035828,3.476,5.584962500721157,0.0,2.0,0.010115679,0.0
57,"['what is one of the first normative approaches to ethics?', 'The first normative approach is to examine the ends, or consequences, a decision produces in order to evaluate whether those ends are ethical.']",8.72069776058197,5.473,5.234120167580195,0.0,9.0,0.012063419,0.0
58,"['what are some variations of that?', 'Variations on this approach include utilitarianism, teleology, and consequentialism.']",7.896394729614258,1.31,4.392317422778759,0.0,5.0,0.015519086,0.5
59,"['what is utilitarianism?', 'For example, utilitarianism suggests that an ethical action is one whose consequence achieves the greatest good for the greatest number of people.']",9.19049620628357,3.3409999999999997,4.840223928941851,0.0,2.0,0.018974753,0.0
60,"['what are some other aspects?', 'So if we want to make an ethical decision, we should ask ourselves who is helped and who is harmed by it.']",8.457218408584595,8.315000000000001,4.937499999999999,0.0,4.0,0.0103670005,0.0
61,"['what else is significant about the end?', 'Focusing on consequences in this way generally does not require us to take into account the means of achieving that particular end, however.']",9.024420976638794,5.625,5.129283016944966,0.0,6.0,0.015079274,0.5
62,"['what is the next theory?', 'That fact leads us to the second normative theory about what constitutes ethical conduct.']",9.487498998641968,6.183,4.523561956057013,0.0,4.0,0.015519086,0.0
63,"['What is the second approach?', 'The second approach does examine the means, or actions, we use to carry out a business decision.']",8.652276396751404,6.877,4.735926350629033,0.0,4.0,0.010304171,0.0
64,"['What is the third approach?', 'An example of this approach is deontology, which essentially suggests that it is the means that lend nobility to the ends.']",9.29044783115387,5.828,4.889680181354619,0.0,4.0,0.011623607,0.5
65,"['What is deontology?', 'Deontology contends that each of us owes certain duties to others (deon is a Greek word for duty or obligation) and that certain universal rules apply to every situation and bind us to these duties.']",8.974725008010864,4.372999999999999,5.459431618637298,0.0,2.0,0.014890783,0.0
66,"['What is its relevance in business?', 'In this view, whether our actions are ethical depends only on whether we adhere to these rules.']",9.267628788948059,7.672,4.807354922057605,0.0,5.0,0.006534352,0.0
67,"['What is the last point?', 'Thus, the means we use is the primary determinant of ethical conduct.']",9.335206747055054,7.131,4.368522527728206,0.0,4.0,0.011560776,0.0
68,"['Who authored the third approach?', 'The thinker most closely associated with deontology is the eighteenth-century German philosopher Immanuel Kant.']",9.721209406852722,2.799,4.523561956057013,0.0,4.0,0.009613037,1.0
69,"['What is the third normative approach?', 'The third normative approach, typically called virtue theory, focuses on the character of the decision-maker—a character that reflects the training we receive growing up.']",9.060084819793701,3.933,5.058813890331201,0.0,5.0,0.01225191,1.0
70,"['What is the role of character in making decisions?', 'In this view, our ethical analysis of a decision is intimately connected with the person we choose to be.']",9.686886072158813,5.727,5.044394119358453,0.0,8.0,0.010806813,0.5
71,"['Why is character important?', 'It is through the development of habits, the routine actions in which we choose to engage, that we are able to create a character of integrity and make ethical decisions.']",9.372756481170654,5.422,5.321928094887363,0.0,3.0,0.01218908,0.0
72,"['How does this apply to business?', 'Put differently, if a two-year-old is taught to take care of and return borrowed toys even though this runs contrary to every instinct they have, they may continue to perfect their ethical behavior so that at age forty, they can be counted on to safeguard the tens of millions of dollars investors have entrusted to their care in brokerages.']",7.910081148147583,5.5409999999999995,6.142147223664539,0.0,5.0,0.0075710523,0.0
