,tuple,relevance,flesch_reading_ease,bigram_entropy,is_general,distinct_3,toxicity,Q_A_eval
0,"['What type of stakeholders are listed?', 'Clients, customers, suppliers, investors, retailers, employees, the media, the government, members of the surrounding community, competitors, and even the environment are stakeholders in a business; that is, they are individuals and entities affected by the business’s decisions.']",8.931416869163513,2.427,5.897950452316984,0.0,5.0,0.0070684096,0.0
1,"['What does the stakeholder value?', 'Stakeholders typically value a leadership team that chooses the ethical way to accomplish the company’s legitimate for-profit goals.']",9.420297741889954,2.596,4.857980995127571,0.0,4.0,0.0103670005,1.0
2,"['What was an example of a sustainability?', 'For example, Patagonia expresses its commitment to environmentalism via its “1% for the Planet” program, which donates 1 percent of all sales to help save the planet.']",9.479031562805176,4.576,5.426264754702098,0.0,6.0,0.005309161,0.0
3,"['What does the program accomplish?', 'In part because of this program, Patagonia has become a market leader in outdoor gear.']",9.581853151321411,6.133,4.643856189774724,0.0,4.0,0.011183795,0.0
4,"['What did you learn about Acting with Integrity?', 'Being successful at work may therefore consist of much more than simply earning money and promotions.']",9.483363032341003,6.776000000000001,4.807354922057605,0.0,7.0,0.046368107,0.0
5,"['What else does success consist of?', 'It may also mean treating our employees, customers, and clients with honesty and respect.']",9.403125047683716,6.979000000000001,4.7004397181410935,0.0,5.0,0.02048268,0.0
6,"['What else can business ethics lead you to do?', 'It may come from the sense of pride we feel about engaging in honest transactions, not just because the law demands it but because we demand it of ourselves.']",9.246565699577332,7.757,5.426264754702098,0.0,8.0,0.019728716,0.0
7,"['What else can business ethics do?', 'It may lie in knowing the profit we make does not come from shortchanging others.']",9.64267611503601,8.620000000000001,4.643856189774724,0.0,5.0,0.012943043,0.0
8,"['What else is significant about business ethics?', 'Thus, business ethics guides the conduct by which companies and their agents abide by the law and respect the rights of their stakeholders, particularly their customers, clients, employees, and the surrounding community and environment.']",9.584577083587646,5.067,5.603856189774723,0.0,6.0,0.009990019,0.0
9,"['What is the next major topic of discussion?', 'Ethical business conduct permits us to sleep well at night.']",9.008340239524841,7.08,4.459431618637297,0.0,7.0,0.018974753,0.5
10,"[""What are some topics we'll discuss?"", 'Nearly all systems of religious belief stress the building blocks of engaging others with respect, empathy, and honesty.']",9.401323199272156,5.93,4.954196310386876,0.0,6.0,0.014765122,1.0
11,"['What are some other topics?', 'These foundational beliefs, in turn, prepare us for the codes of ethical behavior that serve as ideal guides for business and the professions.']",8.679574131965637,6.573,5.087462841250341,0.0,4.0,0.013822667,0.5
12,"['Why do we need ethical behavior?', 'Still, we need not subscribe to any religious faith to hold that ethical behavior in business is still necessary.']",8.293126821517944,5.879,4.773557262275185,0.0,5.0,0.01847211,0.0
13,"['What are some other topics?', 'Just by virtue of being human, we all share obligations to one another, and principal among these is the requirement that we treat others with fairness and dignity, including in our commercial transactions.']",8.690966963768005,5.218999999999999,5.491853096329675,0.0,4.0,0.013822667,0.0
14,"['What does the article say?', 'For this reason, we use the words ethics and morals interchangeably in this book, though some philosophers distinguish between them.']",9.611967206001282,7.571,4.954196310386876,0.0,4.0,0.010869644,1.0
15,"['What is the distinction between ethics and morals?', 'We hold that “an ethical person” conveys the same sense as “a moral person,” and we do not regard religious belief as a requirement for acting ethically in business and the professions.']",9.219306707382202,5.964,5.614709844115209,0.0,7.0,0.015016444,0.0
16,"['Why?', 'Because we are all humans and in the same world, we should extend the same behavior to all.']",9.213716387748718,7.757,4.501629167387825,0.0,0.0,0.0065657673,0.0
17,"['What are the consequences?', 'It is the right way to behave, but it also burnishes our own professional reputation as business leaders of integrity.']",9.366353154182434,5.0840000000000005,4.857980995127571,0.0,3.0,0.01005285,0.5
18,"['what is the significance of integrity?', 'Integrity—that is, unity between what we say and what we do—is a highly valued trait.']",9.739466905593872,6.928,4.623516641218016,0.0,5.0,0.012314741,0.0
19,"['is integrity just consistency of character?', 'But it is more than just consistency of character.']",9.739739298820496,4.694,3.932138039759376,0.0,5.0,0.013822667,0.5
20,"['what does it mean?', 'Acting with integrity means we adhere strongly to a code of ethics, so it implies trustworthiness and incorruptibility.']",9.276196956634521,6.031000000000001,4.754887502163469,0.0,3.0,0.011749268,1.0
21,"['what does it mean to be a professional?', 'Being a professional of integrity means consistently striving to be the best person you can be in all your interactions with others.']",9.517399072647095,5.625,4.96981578242681,0.0,7.0,0.012754552,1.0
22,"['what does integrity mean?', 'It means you practice what you preach, walk the talk, and do what you believe is right based upon reason.']",9.289042949676514,8.468,4.840223928941851,0.0,3.0,0.012063419,0.0
23,"['what are the benefits of integrity?', 'Integrity in business brings many advantages, not the least of which is that it is a critical factor in allowing business and society to function properly.']",9.34994637966156,5.524,5.209453365628952,0.0,5.0,0.010806813,0.0
24,"['What is the first step to doing this?', 'Successful corporate leaders and the companies they represent will take pride in their enterprise if they engage in business with honesty and fair play.']",8.70162308216095,6.37,5.169925001442313,0.0,7.0,0.014011159,0.0
25,"['How is this an ethical practice?', 'To treat customers, clients, employees, and all those affected by a firm with dignity and respect is ethical.']",8.110877871513367,6.776000000000001,4.954196310386876,0.0,5.0,0.014073989,0.0
26,"['What is the last step?', 'In addition, laudable business practices serve the long-term interests of corporations.']",9.477618932723999,6.336,4.392317422778759,0.0,4.0,0.014702292,0.0
27,"['Why are they important?', 'Because customers, clients, employees, and society at large will much more willingly patronize a business and work hard on its behalf if that business is perceived as caring about the community it serves.']",7.7443671226501465,6.116,5.459431618637298,0.0,3.0,0.024731753,0.0
28,"['How do you know that a company cares?', 'One whose track record gives evidence of honest business practice.']",9.552302360534668,7.926,4.459431618637297,0.0,7.0,0.024378212,0.0
29,"['what are some important aspects of that material?', 'Many people confuse legal and ethical compliance.']",9.188587069511414,3.848,4.247927513443585,0.0,7.0,0.01225191,1.0
30,"['how are they different?', 'They are, however, totally different and call for different standards of behavior.']",9.42708432674408,4.644,4.459431618637297,0.0,3.0,0.012817383,0.0
31,"['what else is important to know?', 'The concepts are not interchangeable in any sense of the word.']",9.604330658912659,7.976999999999999,4.392317422778759,0.0,5.0,0.015079274,0.0
32,"['what is important about the law?', 'The law is needed to establish and maintain a functioning society.']",9.557737708091736,6.285,4.392317422778759,0.0,5.0,0.011372286,0.5
