,tuple,relevance,flesch_reading_ease,bigram_entropy,is_general,distinct_3,toxicity,Q_A_eval
0,"['What are the types of stakeholders listed?', 'Clients, customers, suppliers, investors, retailers, employees, the media, the government, members of the surrounding community, competitors, and even the environment are stakeholders in a business; that is, they are individuals and entities affected by the business’s decisions.']",9.243600368499756,2.377,5.921938245870746,0.0,6.0,0.007885204,0.0
1,"['What do stakeholders value?', 'Stakeholders typically value a leadership team that chooses the ethical way to accomplish the company’s legitimate for-profit goals.']",9.413894414901733,2.647,4.807354922057605,0.0,3.0,0.030270588,0.5
2,"['What was an example of a sustainability?', 'For example, Patagonia expresses its commitment to environmentalism via its “1% for the Planet” program, which donates 1 percent of all sales to help save the planet.']",9.479031562805176,4.576,5.426264754702098,0.0,6.0,0.005309161,0.0
3,"['What does the program accomplish?', 'In part because of this program, Patagonia has become a market leader in outdoor gear.']",9.581853151321411,6.133,4.643856189774724,0.0,4.0,0.011183795,0.0
4,"['What did you learn about Acting with Integrity?', 'Being successful at work may therefore consist of much more than simply earning money and promotions.']",9.483363032341003,6.776000000000001,4.807354922057605,0.0,7.0,0.046368107,0.0
5,"['What does success consist of?', 'It may also mean treating our employees, customers, and clients with honesty and respect.']",9.423202872276306,7.029000000000001,4.643856189774724,0.0,4.0,0.022021262,0.0
6,"['What can business ethics lead you to do?', 'It may come from the sense of pride we feel about engaging in honest transactions, not just because the law demands it but because we demand it of ourselves.']",9.257974028587341,7.808,5.39231742277876,0.0,7.0,0.017215505,0.0
7,"['What is the purpose of business ethics?', 'It may lie in knowing the profit we make does not come from shortchanging others.']",9.749931693077087,8.568999999999999,4.7004397181410935,0.0,6.0,0.010304171,0.0
8,"['What else is significant about business ethics?', 'Thus, business ethics guides the conduct by which companies and their agents abide by the law and respect the rights of their stakeholders, particularly their customers, clients, employees, and the surrounding community and environment.']",9.584577083587646,5.067,5.603856189774723,0.0,6.0,0.009990019,0.0
9,"['What is the next major topic of discussion?', 'Ethical business conduct permits us to sleep well at night.']",9.008340239524841,7.08,4.459431618637297,0.0,7.0,0.018974753,0.5
10,"[""What are some topics we'll discuss?"", 'Nearly all systems of religious belief stress the building blocks of engaging others with respect, empathy, and honesty.']",9.401323199272156,5.93,4.954196310386876,0.0,6.0,0.014765122,1.0
11,"['What are some other topics that are related to this passage?', 'These foundational beliefs, in turn, prepare us for the codes of ethical behavior that serve as ideal guides for business and the professions.']",9.589925408363342,6.268,5.321928094887363,0.0,10.0,0.015581916,0.5
12,"['Why do we need ethical behavior?', 'Still, we need not subscribe to any religious faith to hold that ethical behavior in business is still necessary.']",8.293126821517944,5.879,4.773557262275185,0.0,5.0,0.01847211,0.0
13,"['What are some other topics that we all share obligations to one another?', 'Just by virtue of being human, we all share obligations to one another, and principal among these is the requirement that we treat others with fairness and dignity, including in our commercial transactions.']",8.961707949638367,4.813000000000001,5.463769511166972,0.0,12.0,0.009424546,0.5
14,"['What does the article say about the difference between ethics and morals?', 'For this reason, we use the words ethics and morals interchangeably in this book, though some philosophers distinguish between them.']",9.816907048225403,7.215999999999999,5.14266435554885,0.0,11.0,0.015016444,1.0
15,"['What is the difference between ethics and morals?', 'We hold that “an ethical person” conveys the same sense as “a moral person,” and we do not regard religious belief as a requirement for acting ethically in business and the professions.']",9.371172785758972,5.964,5.614709844115209,0.0,7.0,0.015896067,0.5
16,"['Why do you think we should extend the same behavior to all?', 'Because we are all humans and in the same world, we should extend the same behavior to all.']",9.625330567359924,8.163,4.6505719454545815,0.0,11.0,0.017466826,0.5
17,"['What are the consequences of not doing the right thing?', 'It is the right way to behave, but it also burnishes our own professional reputation as business leaders of integrity.']",9.676066040992737,5.625,5.072140159802109,0.0,9.0,0.015770407,0.0
18,"['What is the significance of integrity?', 'Integrity—that is, unity between what we say and what we do—is a highly valued trait.']",9.739466905593872,6.928,4.623516641218016,0.0,5.0,0.011623607,0.0
19,"['is integrity just consistency of character?', 'But it is more than just consistency of character.']",9.739739298820496,4.694,3.932138039759376,0.0,5.0,0.013822667,0.5
20,"['What does it mean to act with integrity?', 'Acting with integrity means we adhere strongly to a code of ethics, so it implies trustworthiness and incorruptibility.']",9.528943300247192,5.828,4.889680181354619,0.0,7.0,0.0143253105,0.5
21,"['What does it mean to be a professional of integrity?', 'Being a professional of integrity means consistently striving to be the best person you can be in all your interactions with others.']",9.57320511341095,5.524,4.94770277922009,0.0,9.0,0.014702292,0.0
22,"['What does integrity mean?', 'It means you practice what you preach, walk the talk, and do what you believe is right based upon reason.']",9.289042949676514,8.468,4.840223928941851,0.0,3.0,0.011497946,0.0
23,"['What are the benefits of integrity in business?', 'Integrity in business brings many advantages, not the least of which is that it is a critical factor in allowing business and society to function properly.']",9.406743049621582,5.422,5.234120167580195,0.0,7.0,0.0076338826,0.0
24,"['What is the first step to doing this?', 'Successful corporate leaders and the companies they represent will take pride in their enterprise if they engage in business with honesty and fair play.']",8.70162308216095,6.37,5.169925001442313,0.0,7.0,0.014011159,0.0
25,"['How is this an ethical practice?', 'To treat customers, clients, employees, and all those affected by a firm with dignity and respect is ethical.']",8.110877871513367,6.776000000000001,4.954196310386876,0.0,5.0,0.014073989,0.0
26,"['What is the last step in the process of a business?', 'In addition, laudable business practices serve the long-term interests of corporations.']",9.30173397064209,6.877,4.754887502163469,0.0,10.0,0.007790958,0.0
27,"['Why are they important?', 'Because customers, clients, employees, and society at large will much more willingly patronize a business and work hard on its behalf if that business is perceived as caring about the community it serves.']",7.7443671226501465,6.116,5.459431618637298,0.0,3.0,0.024731753,0.0
28,"['What kind of company cares?', 'One whose track record gives evidence of honest business practice.']",9.30329442024231,7.231999999999999,4.247927513443585,0.0,4.0,0.06065326,0.0
29,"['What are some important aspects of that material?', 'Many people confuse legal and ethical compliance.']",9.188587069511414,3.848,4.247927513443585,0.0,7.0,0.012063419,1.0
30,"['How are they the same?', 'They are, however, totally different and call for different standards of behavior.']",8.646878004074097,6.285,4.523561956057013,0.0,4.0,0.013445686,0.0
31,"['What is important to know about the concepts?', 'The concepts are not interchangeable in any sense of the word.']",9.597410559654236,7.875,4.523561956057013,0.0,7.0,0.012126249,1.0
32,"['What is important about the law?', 'The law is needed to establish and maintain a functioning society.']",9.557737708091736,6.285,4.392317422778759,0.0,5.0,0.0109324735,0.5
33,"['What would happen if we had no law?', 'Without it, our society would be in chaos.']",9.818986058235168,8.873999999999999,4.392317422778759,0.0,7.0,0.012126249,0.0
34,"['What is the most important thing to remember?', 'Compliance with these legal standards is strictly mandatory:']",9.770752787590027,5.49,4.321928094887362,0.0,7.0,0.013131535,0.0
35,"['What punishments are there for violating these standards?', 'If we violate these standards, we are subject to punishment as established by the law.']",9.327133893966675,5.9799999999999995,4.735926350629033,0.0,7.0,0.03192045,0.0
36,"['What is the purpose of compliance?', 'Therefore, compliance in terms of business ethics generally refers to the extent to which a company conducts its business operations in accordance with applicable regulations, statutes, and laws.']",8.909891843795776,3.7299999999999995,5.357552004618084,0.0,5.0,0.009110395,1.0
37,"['What is the minimum acceptable?', 'Yet this represents only a baseline minimum.']",9.50594961643219,4.8469999999999995,4.0,0.0,4.0,0.013382856,0.0
38,"['What is the second item on the list?', 'Ethical observance builds on this baseline and reveals the principles of an individual business leader or a specific organization.']",8.144612908363342,4.085,4.954196310386876,0.0,7.0,0.010681152,0.0
39,"['What are ethical acts generally considered?', 'Ethical acts are generally considered voluntary and personal—often based on our perception of or stand on right and wrong.']",9.800779223442078,4.186999999999999,4.789015477886192,0.0,5.0,0.010618322,1.0
40,"['What are some examples of traditional codes of ethics?', 'Some professions, such as medicine and the law, have traditional codes of ethics.']",9.581050276756287,6.877,4.593069207771891,0.0,8.0,0.009424546,1.0
41,"['What is the Hippocratic Oath?', 'The Hippocratic Oath, for example, is embraced by most professionals in health care today as an appropriate standard always owed to patients by physicians, nurses, and others in the field.']",9.30054783821106,5.371,5.379753126795121,0.0,4.0,0.24763705,0.0
42,"['What does this obligation trace to?', 'This obligation traces its lineage to ancient Greece and the physician Hippocrates.']",9.696168303489685,7.926,4.459431618637297,0.0,5.0,0.010681152,1.0
